scorer,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000
bodyparts,jaw,jaw,jaw,toe-bot,toe-bot,toe-bot,toe-top,toe-top,toe-top,tongue,tongue,tongue
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
89,613.5135958194733,281.6737127304077,1.0,227.49563473463058,451.67162227630615,1.0,215.97449493408203,143.26366424560547,1.0,624.9898734092712,281.8093771934509,0.00017347978428006172
90,614.2220153808594,280.12112522125244,1.0,227.96014512330294,451.76654958724976,1.0,215.9883849620819,143.2775468826294,1.0,625.8355073928833,281.6399803161621,0.00013080584176350385
91,614.1332058906555,280.0191640853882,1.0,227.96263391897082,451.77501344680786,1.0,215.98470306396484,143.20501327514648,1.0,626.2319912910461,267.32263880968094,0.00013644478167407215
92,613.8773685693741,280.5316882133484,1.0,227.9337398633361,451.6571412086487,1.0,215.9995789527893,143.19397354125977,1.0,626.7199282646179,267.6916562318802,0.00022013401030562818
93,613.7574955224991,281.6353898048401,1.0,227.91817025840282,451.8181939125061,1.0,215.9821915626526,143.2042818069458,1.0,626.7540926933289,267.37228804826736,0.0015842928551137447
94,613.0094727277756,282.128258228302,1.0,227.91467180103064,451.7822690010071,1.0,215.96530485153198,143.20828437805176,1.0,625.9629163742065,267.26643389463425,0.0067761666141450405
95,612.9553558826447,282.90275955200195,1.0,227.96239528432488,451.7743182182312,1.0,215.9528341293335,143.21854782104492,1.0,625.9822344779968,268.4374992251396,0.883263349533081
96,614.6397280693054,283.1257176399231,1.0,227.88759630918503,451.7290892601013,1.0,215.96161127090454,143.23046016693115,1.0,633.239426612854,262.4851381778717,0.9995519518852234
97,615.330774307251,282.79017305374146,1.0,227.93506282567978,451.81004524230957,1.0,215.9543797969818,143.2367753982544,1.0,634.5459051132202,263.38642501831055,0.9985697269439697
98,615.2158482074738,282.6147780418396,1.0,227.70703655481339,451.7008147239685,1.0,216.08475160598755,143.1216516494751,1.0,634.5734921693802,262.9827527999878,0.9998276233673096
99,614.0113184452057,281.5192584991455,1.0,227.74854958057404,451.75953340530396,1.0,215.99075198173523,143.2569694519043,1.0,626.0585787296295,265.3923373222351,0.9957560896873474
100,613.4174387454987,282.1567144393921,1.0,227.7021833062172,451.4710645675659,1.0,215.8546290397644,143.1007785797119,1.0,623.2404444217682,266.8561669588089,0.9140105843544006
101,613.8338516950607,281.10393381118774,1.0,227.74856919050217,451.62072801589966,1.0,215.86964321136475,143.13835525512695,1.0,626.6749765872955,268.93082278966904,0.08597464114427567
102,615.8900227546692,281.9265065193176,1.0,227.61559173464775,451.5041732788086,1.0,215.58279085159302,143.19349002838135,1.0,627.0876321792603,273.62061834335327,0.0005370933213271201
103,619.3108761906624,283.41337537765503,1.0,227.65816888213158,451.4465937614441,1.0,215.541677236557,143.10703372955322,1.0,628.2270517349243,268.8852201104164,0.0001902082731248811
104,618.9640703201294,284.28702160716057,1.0,227.63653764128685,451.36456823349,1.0,215.4812843799591,143.21544647216797,1.0,629.7299537658691,297.5602526664734,0.0001611119951121509
105,620.6194024085999,283.14827394485474,1.0,227.62887409329414,451.3902254104614,1.0,215.48946237564087,143.22158336639404,1.0,637.8386571407318,279.25666856765747,0.0006075719138607383
106,621.7211818695068,283.4031705856323,1.0,227.66935855150223,451.4492292404175,1.0,215.45794463157654,143.294997215271,1.0,638.66752576828,273.3636622428894,0.002221511211246252
107,621.4126905202866,283.26679134368896,1.0,227.65928184986115,451.442458152771,1.0,215.48442125320435,143.22564506530762,1.0,638.4164485931396,273.4619071483612,0.0022173095494508743
108,621.0273625850677,283.1241674423218,1.0,227.58108937740326,451.40082359313965,1.0,215.4945011138916,143.23730087280273,1.0,638.2449655532837,273.4184899330139,0.0017646158812567592
109,620.5500302314758,283.2328886985779,1.0,227.44009947776794,451.3247675895691,1.0,215.46143054962158,143.23322868347168,1.0,637.9446663856506,273.15842032432556,0.0013564585242420435
110,621.3540573120117,283.2807559967041,1.0,227.43708509206772,451.3618745803833,1.0,215.48718857765198,143.26135063171387,1.0,637.9537039995193,279.2554841041565,0.0010562253883108497
111,621.7523721456528,283.7264447212219,1.0,227.50376990437508,451.41315507888794,1.0,215.49619150161743,143.2544927597046,1.0,638.1977028846741,279.64607191085815,0.001020388095639646
112,622.3034312725067,283.72672510147095,1.0,227.58319917321205,451.4263515472412,1.0,215.50714921951294,143.26210117340088,1.0,638.6714460849762,279.3162431716919,0.0005605207988992333
113,621.6969450712204,283.25063467025757,1.0,227.58254593610764,451.4204330444336,1.0,215.50713992118835,143.26216411590576,1.0,637.5219196081161,280.14471530914307,0.0003923353215213865
114,622.4900023937225,283.32492113113403,1.0,227.58702293038368,451.4194931983948,1.0,215.52010917663574,143.26183128356934,1.0,637.5578919649124,280.318320274353,0.0005808823625557125
115,622.9310836791992,283.26682138442993,1.0,227.44818651676178,451.30439805984497,1.0,215.55640721321106,143.12979316711426,1.0,637.5532824993134,280.736759185791,0.0006755160284228623
116,624.42853307724,283.53477478027344,1.0,227.52399316430092,451.3804750442505,1.0,215.50019454956055,143.2439603805542,1.0,639.4885609149933,280.3883216381073,0.0016210473841056228
117,624.6104824542999,282.8586263656616,1.0,227.52327263355255,451.3752360343933,1.0,215.49138617515564,143.2317714691162,1.0,639.6182072162628,280.1010458469391,0.0015620958292856812
118,625.0390849113464,283.01129055023193,1.0,227.42611396312714,451.3247022628784,1.0,215.49986267089844,143.2319221496582,1.0,639.7723813056946,280.1940598487854,0.0011665484635159373
119,624.6654102802277,282.872220993042,1.0,227.5310130417347,451.3828902244568,1.0,215.47618794441223,143.24423789978027,1.0,639.59991979599,279.80026292800903,0.0019206557190045714
120,624.6295959949493,283.13572216033936,1.0,227.5350567996502,451.3872809410095,1.0,215.4532675743103,143.24552536010742,1.0,639.3230307102203,279.8861598968506,0.001741259009577334
121,624.6321823596954,283.5190076828003,1.0,227.53146681189537,451.38849782943726,1.0,215.43939399719238,143.2567901611328,1.0,639.4398453235626,280.27646017074585,0.0015102423494681716
122,624.557398557663,282.7291941642761,1.0,227.64268544316292,451.36589670181274,1.0,215.35752987861633,143.30106735229492,1.0,639.6831202507019,279.6522493362427,0.0019754215609282255
123,623.6786057949066,282.7391400337219,1.0,227.65483239293098,451.4167881011963,1.0,215.38818097114563,143.27057266235352,1.0,639.3679006099701,279.3697371482849,0.0020806053653359413
124,624.0344114303589,282.1441111564636,1.0,227.6779949069023,451.41481018066406,1.0,215.39053010940552,143.2951488494873,1.0,639.463623046875,278.83129835128784,0.0017813720041885972
125,623.3012182712555,282.232382774353,1.0,227.62603271007538,451.3887448310852,1.0,215.41205954551697,143.2930793762207,1.0,638.7166504859924,279.1952815055847,0.0013553628232330084
126,623.4415619373322,281.37258768081665,1.0,227.59264227747917,451.2811908721924,1.0,215.40955185890198,143.28861141204834,1.0,638.51677942276,268.1955758333206,0.00286387768574059
127,623.9493246078491,279.44526743888855,1.0,227.59767150878906,451.44710397720337,1.0,215.4214539527893,143.28439235687256,1.0,639.9186325073242,265.8216829299927,0.03770042210817337
128,621.0181075334549,278.3007218837738,1.0,227.80281652510166,451.6063623428345,1.0,215.46606755256653,143.27009963989258,1.0,635.1229877471924,263.6616687774658,0.008003517054021358
129,617.6320719718933,277.5671706199646,1.0,227.8333855420351,451.6724443435669,1.0,215.49964356422424,143.31661891937256,1.0,637.0269064903259,249.79971837997437,0.13540475070476532
130,618.9936318397522,277.50292587280273,1.0,227.79911912977695,451.4882125854492,1.0,215.83625864982605,143.02498149871826,1.0,628.3736848831177,263.32002782821655,0.0007913305889815092
131,619.1368293762207,277.6337991952896,1.0,227.8870444893837,451.80287504196167,1.0,215.7068293094635,143.30381870269775,1.0,628.4153709411621,265.1497962474823,0.00035604400909505785
132,624.3955087661743,278.5371091365814,1.0,227.6897972524166,451.9923629760742,1.0,215.93977689743042,143.1614112854004,1.0,640.4792485237122,281.6436047554016,0.00046371639473363757
133,626.8191504478455,279.3123903274536,1.0,228.13715697824955,451.93620204925537,1.0,215.90349960327148,143.300386428833,1.0,640.4750008583069,281.8536100387573,0.00031309571932069957
